movieId,imdbId,title,genres,year
1,114709,Toy Story,Adventure|Animation|Children|Comedy|Fantasy,1995
2,113497,Jumanji,Adventure|Children|Fantasy,1995
3,113228,Grumpier Old Men,Comedy|Romance,1995
4,114885,Waiting to Exhale,Comedy|Drama|Romance,1995
5,113041,Father of the Bride Part II,Comedy,1995
6,113277,Heat,Action|Crime|Thriller,1995
7,114319,Sabrina,Comedy|Romance,1995
8,112302,Tom and Huck,Adventure|Children,1995
9,114576,Sudden Death,Action,1995
10,113189,GoldenEye,Action|Adventure|Thriller,1995
11,112346,The American President,Comedy|Drama|Romance,1995
12,112896,Dracula: Dead and Loving It,Comedy|Horror,1995
13,112453,Balto,Adventure|Animation|Children,1995
14,113987,Nixon,Drama,1995
15,112760,Cutthroat Island,Action|Adventure|Romance,1995
16,112641,Casino,Crime|Drama,1995
17,114388,Sense and Sensibility,Drama|Romance,1995
18,113101,Four Rooms,Comedy,1995
19,112281,Ace Ventura: When Nature Calls,Comedy,1995
20,113845,Money Train,Action|Comedy|Crime|Drama|Thriller,1995
21,113161,Get Shorty,Comedy|Crime|Thriller,1995
22,112722,Copycat,Crime|Drama|Horror|Mystery|Thriller,1995
23,112401,Assassins,Action|Crime|Thriller,1995
24,114168,Powder,Drama|Sci-Fi,1995
25,113627,Leaving Las Vegas,Drama|Romance,1995
26,114057,Othello,Drama,1995
27,114011,Now and Then,Children|Drama,1995
28,114117,Persuasion,Drama|Romance,1995
29,112682,The City of Lost Children,Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995
30,115012,Shanghai Triad,Crime|Drama,1995
31,112792,Dangerous Minds,Drama,1995
32,114746,Twelve Monkeys,Mystery|Sci-Fi|Thriller,1995
33,114952,Wings of Courage,Adventure|Romance|IMAX,1995
34,112431,Babe,Children|Drama,1995
35,112637,Carrington,Drama|Romance,1995
36,112818,Dead Man Walking,Crime|Drama,1995
37,112286,Across the Sea of Time,Documentary|IMAX,1995
38,113442,It Takes Two,Children|Comedy,1995
39,112697,Clueless,Comedy|Romance,1995
40,112749,"Cry, the Beloved Country",Drama,1995
41,114279,Richard III,Drama|War,1995
42,112819,Dead Presidents,Action|Crime|Drama,1995
43,114272,Restoration,Drama,1995
44,113855,Mortal Kombat,Action|Adventure|Fantasy,1995
45,114681,To Die For,Comedy|Drama|Thriller,1995
46,113347,How to Make an American Quilt,Drama|Romance,1995
47,114369,Seven,Mystery|Thriller,1995
48,114148,Pocahontas,Animation|Children|Drama|Musical|Romance,1995
49,114916,When Night Is Falling,Drama|Romance,1995
50,114814,The Usual Suspects,Crime|Mystery|Thriller,1995
51,109950,Guardian Angel,Action|Drama|Thriller,1994
52,113819,Mighty Aphrodite,Comedy|Drama|Romance,1995
53,110299,Lamerica,Adventure|Drama,1994
54,112499,The Big Green,Children|Comedy,1995
55,113158,Georgia,Drama,1995
56,113541,Kids of the Round Table,Adventure|Children|Comedy|Fantasy,1995
57,113321,Home for the Holidays,Drama,1995
58,110877,The Postman,Comedy|Drama|Romance,1994
59,112714,The Confessional,Drama|Mystery,1995
60,113419,The Indian in the Cupboard,Adventure|Children|Fantasy,1995
61,116260,Eye for an Eye,Drama|Thriller,1996
62,113862,Mr. Holland's Opus,Drama,1995
63,116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy|Crime,1996
64,118002,Two if by Sea,Comedy|Romance,1996
65,115683,Bio-Dome,Comedy,1996
66,116839,Lawnmower Man 2: Beyond Cyberspace,Action|Sci-Fi|Thriller,1996
67,114753,Two Bits,Drama,1995
68,113149,French Twist,Comedy|Romance,1995
69,113118,Friday,Comedy,1995
70,116367,From Dusk Till Dawn,Action|Comedy|Horror|Thriller,1996
71,113010,Fair Game,Action,1995
72,113537,Kicking and Screaming,Comedy|Drama,1995
73,113828,"Misérables, Les",Drama|War,1995
74,115644,Bed of Roses,Drama|Romance,1996
75,115676,Big Bully,Comedy|Drama,1996
76,114367,Screamers,Action|Sci-Fi|Thriller,1995
77,113973,Nico Icon,Documentary,1995
78,112744,The Crossing Guard,Action|Crime|Drama|Thriller,1995
79,116731,The Juror,Drama|Thriller,1996
80,112445,The White Balloon,Children|Drama,1995
81,114660,Things to Do in Denver When You're Dead,Crime|Drama|Romance,1995
82,112379,Antonia's Line,Comedy|Drama,1995
83,114039,Once Upon a Time... When We Were Colored,Drama|Romance,1995
84,113612,Last Summer in the Hamptons,Comedy|Drama,1995
85,112365,Angels and Insects,Drama|Romance,1995
86,118158,White Squall,Action|Adventure|Drama,1996
87,116151,Dunston Checks In,Children|Comedy,1996
88,115697,Black Sheep,Comedy,1996
89,113972,Nick of Time,Action|Thriller,1995
90,113490,The Journey of August King,Drama,1995
92,117002,Mary Reilly,Drama|Horror|Thriller,1996
93,114825,Vampire in Brooklyn,Comedy|Horror|Romance,1995
94,115639,Beautiful Girls,Comedy|Drama|Romance,1996
95,115759,Broken Arrow,Action|Adventure|Thriller,1996
96,113403,In the Bleak Midwinter,Comedy|Drama,1995
97,113247,Hate,Crime|Drama,1995
98,111173,Shopping,Action|Thriller,1994
99,113283,Heidi Fleiss: Hollywood Madam,Documentary,1995
100,115907,City Hall,Drama|Thriller,1996
101,115734,Bottle Rocket,Adventure|Comedy|Crime|Romance,1996
102,117102,Mr. Wrong,Comedy,1996
103,118040,Unforgettable,Mystery|Sci-Fi|Thriller,1996
104,116483,Happy Gilmore,Comedy,1996
105,112579,The Bridges of Madison County,Drama|Romance,1995
106,110251,Nobody Loves Me,Comedy|Drama,1994
107,117110,Muppet Treasure Island,Adventure|Children|Comedy|Musical,1996
108,112646,Catwalk,Documentary,1996
109,113276,Headless Body in Topless Bar,Comedy|Drama|Thriller,1995
110,112573,Braveheart,Action|Drama|War,1995
111,75314,Taxi Driver,Crime|Drama|Thriller,1976
112,113326,Rumble in the Bronx,Action|Adventure|Comedy|Crime,1995
113,115645,Before and After,Drama|Mystery,1996
114,113774,Margaret's Museum,Drama,1995
115,112556,Happiness Is in the Field,Comedy,1995
116,112373,Anne Frank Remembered,Documentary,1995
117,115033,The Young Poisoner's Handbook,Crime|Drama,1995
118,116606,If Lucy Fell,Comedy|Romance,1996
119,114536,"Steal Big, Steal Little",Comedy,1995
120,117427,Race the Sun,Adventure|Comedy|Drama,1996
121,106473,The Boys of St. Vincent,Drama,1992
122,103859,Boomerang,Comedy|Romance,1992
123,109424,Chungking Express,Drama|Mystery|Romance,1994
124,114808,The Star Maker,Drama,1995
125,116324,Flirting With Disaster,Comedy,1996
126,110647,The NeverEnding Story III,Adventure|Children|Fantasy,1994
127,111055,The Silences of the Palace,Drama,1994
128,110217,Jupiter's Wife,Documentary,1994
129,114131,Pie in the Sky,Comedy|Romance,1996
130,112364,Angela,Drama,1995
131,113107,Frankie Starlight,Drama|Romance,1995
132,113451,Jade,Thriller,1995
133,114015,Nueba Yol,Comedy|Drama,1995
134,114500,Sonic Outlaws,Documentary,1995
135,116130,Down Periscope,Comedy,1996
136,113125,From the Journals of Jean Seberg,Documentary,1995
137,113756,Man of the Year,Documentary,1995
138,113952,The Neon Bible,Drama,1995
139,114618,Target,Action|Drama,1995
140,118055,Up Close and Personal,Drama|Romance,1996
141,115685,The Birdcage,Comedy,1996
142,94878,Shadows,Drama,1988
143,113200,Gospa,Drama,1995
144,112585,The Brothers McMullen,Comedy,1995
145,112442,Bad Boys,Action|Comedy|Crime|Drama|Thriller,1995
146,112342,The Amazing Panda Adventure,Adventure|Children,1995
147,112461,The Basketball Diaries,Drama,1995
148,112427,"Awfully Big Adventure, An",Drama,1995
149,109093,Amateur,Crime|Drama|Thriller,1994
150,112384,Apollo 13,Adventure|Drama|IMAX,1995
151,114287,Rob Roy,Action|Drama|Romance|War,1995
152,112288,The Addiction,Drama|Horror,1995
153,112462,Batman Forever,Action|Adventure|Comedy|Crime,1995
154,61395,Beauty of the Day,Drama,1967
155,112495,Beyond Rangoon,Adventure|Drama|War,1995
156,112541,Blue in the Face,Comedy|Drama,1995
157,109370,Canadian Bacon,Comedy|War,1995
158,112642,Casper,Adventure|Children,1995
159,112688,Clockers,Crime|Drama|Mystery,1995
160,112715,Congo,Action|Adventure|Mystery|Sci-Fi,1995
161,112740,Crimson Tide,Drama|Thriller|War,1995
162,109508,Crumb,Documentary,1994
163,112851,Desperado,Action|Romance|Western,1995
164,112857,Devil in a Blue Dress,Crime|Film-Noir|Mystery|Thriller,1995
165,112864,Die Hard: With a Vengeance,Action|Crime|Thriller,1995
166,112887,The Doom Generation,Comedy|Crime|Drama,1995
167,113044,Feast of July,Drama,1995
168,113071,First Knight,Action|Drama|Romance,1995
169,113114,Free Willy 2: The Adventure Home,Adventure|Children|Drama,1995
170,113243,Hackers,Action|Adventure|Crime|Thriller,1995
171,113464,Jeffrey,Comedy|Drama,1995
172,113481,Johnny Mnemonic,Action|Sci-Fi|Thriller,1995
173,113492,Judge Dredd,Action|Crime|Sci-Fi,1995
174,113500,Jury Duty,Comedy,1995
175,113540,Kids,Drama,1995
176,113677,Living in Oblivion,Comedy,1995
177,113690,Lord of Illusions,Horror,1995
178,107447,Love & Human Remains,Comedy|Drama,1993
179,113729,Mad Love,Drama|Romance,1995
180,113749,Mallrats,Comedy|Romance,1995
181,113820,Mighty Morphin Power Rangers: The Movie,Action|Children,1995
182,113851,Moonlight and Valentino,Drama|Romance,1995
183,110604,Mute Witness,Comedy|Horror|Thriller,1994
184,110620,Nadja,Drama,1994
185,113957,The Net,Action|Crime|Thriller,1995
186,113986,Nine Months,Comedy|Romance,1995
187,114095,Party Girl,Comedy,1995
188,114194,The Prophecy,Fantasy|Horror|Mystery,1995
189,114241,Reckless,Comedy|Fantasy,1995
190,114323,Safe,Thriller,1995
191,114345,The Scarlet Letter,Drama|Romance,1995
192,114435,The Show,Documentary,1995
193,114436,Showgirls,Drama,1995
194,114478,Smoke,Comedy|Drama,1995
195,114496,Something to Talk About,Comedy|Drama|Romance,1995
196,114508,Species,Horror|Sci-Fi,1995
197,114534,The Stars Fell on Henrietta,Drama,1995
198,114558,Strange Days,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,1995
199,58450,The Umbrellas of Cherbourg,Drama|Musical|Romance,1964
200,114666,The Tie That Binds,Thriller,1995
201,114663,Three Wishes,Drama|Fantasy,1995
202,114702,Total Eclipse,Drama|Romance,1995
203,114682,"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy,1995
204,114781,Under Siege 2: Dark Territory,Action,1995
205,114798,Unstrung Heroes,Comedy|Drama,1995
206,114805,Unzipped,Documentary,1995
207,114887,"Walk in the Clouds, A",Drama|Romance,1995
208,114898,Waterworld,Action|Adventure|Sci-Fi,1995
209,114928,White Man's Burden,Drama,1995
210,114938,Wild Bill,Western,1995
211,109340,The Browning Version,Drama,1994
212,112602,Bushwhacked,Adventure|Comedy|Crime|Mystery,1995
213,111579,Burnt by the Sun,Drama,1994
214,110882,Before the Rain,Drama|War,1994
215,112471,Before Sunrise,Drama|Romance,1995
216,112508,Billy Madison,Comedy,1995
217,112438,The Babysitter,Drama|Thriller,1995
218,112571,Boys on the Side,Comedy|Drama,1995
219,112757,The Cure,Drama,1995
220,112643,Castle Freak,Horror,1995
222,112679,Circle of Friends,Drama|Romance,1995
223,109445,Clerks,Comedy,1994
224,112883,Don Juan DeMarco,Comedy|Drama|Romance,1995
225,109635,Disclosure,Drama|Thriller,1994
226,112899,Dream Man,Thriller,1995
227,109676,Drop Zone,Action|Thriller,1994
228,112854,Destiny Turns on the Radio,Comedy,1995
229,109579,Death and the Maiden,Drama|Thriller,1994
230,109642,Dolores Claiborne,Drama|Thriller,1995
231,109686,Dumb & Dumber,Adventure|Comedy,1994
232,111797,Eat Drink Man Woman,Comedy|Drama|Romance,1994
233,109759,Exotica,Drama,1994
234,109758,Exit to Eden,Comedy,1994
235,109707,Ed Wood,Comedy|Drama,1994
236,113117,French Kiss,Action|Comedy|Romance,1995
237,113097,Forget Paris,Comedy|Romance,1995
238,113028,Far From Home: The Adventures of Yellow Dog,Adventure|Children,1995
