IMDB,ID,Title,Genre,Tags,Director,Cast,Language,Rating
3875444,180061,Haunted Mansion (2015) ,"['Horror', 'Thriller']",['house'],Jun Lana,"['Janella Salvador', 'Marlo Mortel', 'Jerome Ponce', 'Janice de Belen', 'Iza Calzado', 'Dominic Ochoa', 'LJ Reyes', 'Joem Bascon', 'Sharlene San Pedro', 'Ingrid Dela Paz', 'Devon Seron', 'Eliza Pineda', 'Phytos Ramirez', 'Paolo Gumabao', 'Lilet']",Filipino,5.8
6046754,180065,Three Summers (2017) ,['Comedy'],[],Ben Elton,"['Robert Sheehan', 'Rebecca Breeds', 'Michael Caton', 'Magda Szubanski', 'Kate Box', 'John Waters', 'Deborah Mailman', 'Caroline Brazier', 'Kelton Pell', 'Nichola Balestri', 'Jacqueline McKenzie', 'Peter Rowsthorn', 'Mahesh Jadu', 'Christiaan Van Vuuren', 'Joseph Pedley']",English,6.3
2371383,180067,Louis Theroux: Extreme Love - Dementia (2012) ,['Documentary'],"['old age', 'phoenix arizona', 'senility', 'retirement home', ""alzheimer's disease""]",Dan Child,['Louis Theroux'],English,7.9
6609010,180069,Koi to sayonara to Hawai (2017) ,['Drama'],['woman'],Shingo Matsumura,"['Aya Ayano', 'Risa Kameda', 'Aoi Kato', 'Kentarô Tamura']",Japanese,6.9
3461882,180071,Grazing the Sky (2013) ,"['Documentary', 'Drama']",[],Horacio Alcala,"['Antonio Segura', 'Max La Sala', 'Damian Istria', 'Erika Nguyen', 'Fadi Zmorrod', 'Jonathan Moss', 'Marie-Lee Guilbert', 'Philippe Belanger', 'Saar Rombout', 'Bahoz Temaout', 'Arnau Serra Vila', 'Julien Auger', 'Mathieu Lagaillarde', 'Sidney Pin', 'Thibaut Brigner']",English,6.8
4601292,180073,De helleveeg (2016) ,"['Comedy', 'Drama']","['1980s', 'illegal abortion', '1960s', '1950s', 'overprotective mother']",André van Duren,"['Hannah Hoekstra', 'Benja Bruijning', 'Anneke Blok', 'Gijs Scholten van Aschat', 'Hadewych Minis', 'Raf Schollen', 'Robert de Hoog', 'Huub Smit', 'Beau Schneider', 'Joep van Leuken', 'Lieke-Rosa Altink', 'Frederic Bal', 'Marthe Geke Bracht', 'Tonino Claassens', 'Rutger de Bekker']",Dutch,6.7
6108612,180075,The Connected Universe (2016) ,['Documentary'],['pseudo science'],Malcom Carter,"['Dasha German', 'Nassim Haramein', 'Patrick Stewart']",English,7.6
0196699,180077,The Lifestyle (1999) ,['Documentary'],"['barbecue', 'old woman', 'old man', 'male nudity', 'female nudity']",David Schisgall,"[""Dant'e Amore"", 'Wild Bill Goodwin', 'Robert L. McGinley']",English,5.7
0838233,180079,A Thousand Years of Good Prayers (2007) ,"['Drama', 'Romance']","['language barrier', 'chinese american', 'boyfriend girlfriend relationship', 'father daughter relationship', 'family relationships']",Wayne Wang,"['Henry O', 'Pasha D. Lychnikoff', 'Feihong Yu', 'Vida Ghahremani', 'Megan Albertus', 'Wes Deitrick', 'Angela Dierdorff Petro', 'Brian Gibbons', 'Erick Hollenbaugh', 'Richard Howard', 'Armand Jalayeri', 'Liz Mathews', 'Chris Norton', 'Andrea Petty', 'Zinat Reich']",English,6.7
5162658,180081,Oro (2017) ,"['Adventure', 'Drama', 'History']","['love', 'amazonia', 'conquistador']",Agustín Díaz Yanes,"['Raúl Arévalo', 'Bárbara Lennie', 'Óscar Jaenada', 'José Coronado', 'José Manuel Cervino', 'Antonio Dechent', 'Juan José Ballesta', 'Luis Callejo', 'Anna Castillo', 'Andrés Gertrúdix', 'Diego París', 'Juan Carlos Aduviri', 'Josean Bengoetxea', 'José Manuel Poga', 'Jon Rod']",Spanish,5.6
3496526,180083,Geographically Desirable (2015) ,"['Comedy', 'Romance']",['dog'],Mike Kravinsky,"['Blair Bowers', 'Andrew Agner-Nichols', 'Nic Detorie', 'Felicia Gonzalez Brown', 'Josh Adams', 'Sarah Allyn', 'Rick Kain', 'Connie Bowman', 'Emily Morrison', 'Joy Nathan', 'Paul Fahrenkopf', 'Steve Ray', 'Molly Boyle', 'Bob Hurley', 'Scott Gardner']",English,5.4
0365658,180087,The Prophecy: Uprising (2005) ,"['Thriller', 'Action', 'Fantasy', 'Horror']","['female nudity', 'stabbed in the ear', 'stabbed to death', 'character says carpe diem', 'dog attack']",Joel Soisson,"['John Light', 'Sean Pertwee', 'Dan Chiriac', 'Boris Petroff', 'Alin Cristea', 'Kari Wuhrer', 'Florinel Popescu', 'Dan Astileanu', 'Doug Bradley', 'Georgina Rylance', 'Catalina Alexandru', 'Jason London', 'Ichim Luceafarul', 'Flori Truscan', 'Claudia Templeton']",English,5.2
1693110,180089,Showgirls 2: Penny's from Heaven (2011) ,"['Comedy', 'Drama', 'Thriller']","['bare breasts', 'low budget film', 'slender legs', 'shot on video', 'lesbian relationship']",Rena Riffel,"['Rena Riffel', 'Glenn Plummer', 'Greg Travis', 'Dewey Weber', 'Peter Stickles', 'Shelley Michelle', 'Ford Austin', 'Paula Labaredas', 'Hoyt Richards', 'Blanca Blanco', 'Ryan Grassmeyer', 'Marc Wasserman', 'Brian Nolan', 'Elissa Dowling', 'Dylan Vox']",English,1.7
6595896,180091,Pokémon the Movie: I Choose You (2017) ,"['Animation', 'Action', 'Adventure', 'Family', 'Fantasy']","['pocket monsters', 'battle', 'fight', 'anime', 'pikachu']",Kunihiko Yuyama,"['Unshô Ishizuka', 'Rica Matsumoto', 'Sarah Natochenny', 'Megumi Hayashibara', ""Shin'ichirô Miki"", 'Inuko Inuyama', 'Ikue Ôtani', 'Rikako Aikawa', 'Justin Anselmi', 'Simona Berman', 'Sam Black', 'Kate Bristol', 'Tyler Bunch', 'James Carter Cathcart', 'Chika Fujimura']",Japanese,6.3
7312940,180093,Singularity (2017) ,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",['psychotronic film'],Robert Kouba,"['Julian Schaffner', 'John Cusack', 'Carmen Argenziano', 'Eileen Grubba', 'Jeannine Michèle Wacker', 'Pavlo Bubryak', 'Paul American', 'David Chrisman', 'Hrncir Kuba', 'Elisa Dvorakova', 'Oliver Czavar', 'Michelle Michaels', 'Jason Marnocha', 'Elaine Loh', 'Ego Nwodim']",English,3.8
