IMDB,ID,Title,Genre,Tags,Director,Cast,Language,Rating
3097084,135220,Camp Takota (2014) ,['Comedy'],"['friend from childhood', 'summer camp', 'live performance', 'drunkenness', 'dance']",Chris Riedell,"['Grace Helbig', 'Mamrie Hart', 'Chester See', 'Hannah Hart', 'Ellen Karsten', 'Rachel Quaintance', 'Cameron Britton', 'Sawyer Hartman', 'Megan Duffy', 'Olivia Alexander', 'Amy Lindsay', 'Lee Schall', 'Kate Goldman', 'Chris Riedell', 'Logan Riley']",English,6.8
0069807,135222,Blue Summer (1973) ,"['Comedy', 'Drama']","['van', 'teenager', 'voyeurism', 'pubic hair', 'road trip']",Chuck Vincent,"['Davey Jones', 'Bo White', 'Lilly Bi Peep', 'Joann Sterling', 'Melissa Evers', 'Chris Jordan', 'Jacqueline Carol', 'Any Mathieu', 'Shana McGran', 'Eric Edwards', 'Larry Lima', 'Sylvia Bernstein', 'Harding Harrison', 'Jeff Allen', 'Joe Asaro']",English,4.6
3483612,135224,Hamari Adhuri Kahani (2015) ,"['Drama', 'Romance']",['woman'],Mohit Suri,"['Rajkummar Rao', 'Emraan Hashmi', 'Vidya Balan', 'Madhurima Tuli', 'Namit Das', 'Prabal Panjabi', 'Amala Akkineni', 'Anil George', 'Suhasini Mulay', 'Sara Khan', 'Zachary Coffin', 'Yatin Karyekar', 'Narendra Jha', 'Uday Chandra', 'Armen Grayg']",Hindi,6.7
2486880,135226,Such Good People (2014) ,"['Comedy', 'Mystery']","['secret room', 'gay couple', 'orphan', 'vomiting', 'artifact']",Stewart Wade,"['Michael Urie', 'Randy Harrison', 'James Urbaniak', 'Scott Wolf', 'Ana Ortiz', 'Carrie Wiita', 'Rick Overton', 'Kate Reinders', 'Lance Bass', 'Tom Lenk', 'Mitch Silpa', 'Alec Mapa', 'Drew Droege', 'Tania Gunadi', 'Kee Chan']",English,4.7
3512066,135228,The Possibilities Are Endless (2014) ,"['Documentary', 'Biography', 'Music']","['underwater scene', 'stroke', 'scottish', 'rock musician', ""rock 'n' roll""]",James Hall,"['Edwyn Collins', 'Grace Maxwell', 'William Collins', 'Yasmin Paige', 'Findlay Adams', 'Rosemary Findlay', 'William Jappy', 'Aaron Grant', 'Andy Sutherland', 'Duncan MacKay', 'Finbar Plass', 'Heather Mason', 'Podi Plass', 'Ruth Dudgeon', 'Toby Woodward']",English,6.6
3138192,135230,Mostly Ghostly: Have You Met My Ghoulfriend? (2014) ,"['Family', 'Fantasy', 'Horror']","['halloween', 'passing through a wall', 'horror for children', 'witch costume', 'homemade haunted house attraction']",Peter Hewitt,"['Bella Thorne', 'Ryan Ochoa', 'Roshon Fegan', 'Madison Pettis', 'Charlie Hewson', 'Calum Worthy', 'Eric Allan Kramer', 'Gigi Rice', 'Joan Rivers', 'Ali Eagle', 'Caroline Lagerfelt', 'Anastasia Baranova', 'Marc Kenneth Robinson', 'Casey Young', 'Wyatt Bernard']",English,4.7
0077762,135232,Jailbait Babysitter (1977) ,"['Drama', 'Romance']","['party', 'teenage runaway', 'loss of virginity', 'adult actress playing teenage girl', 'hooker with heart of gold']",John Hayes,"['Therese Pare', 'Roscoe Born', 'Lydia Wagner', 'David J. Partington', 'Billie Mae Richards', 'John Schmidt', 'Mariwin Roberts', 'Leonard Clarke', 'Jerome Guardino', 'Nancy Jane', 'Skot Atha', 'Grant Fredrick Lipton', 'Hermi Llorentz', 'Donna Moise', 'Vincent Sorrentino']",English,3.8
0107838,135234,Pocket Ninjas (1997) ,"['Action', 'Family']","['chop socky', 'cartoon', 'ninjitsu', 'silly string', 'ninja']",Dave Eddy,"[""Robert Z'Dar"", 'Richard Rabago', 'Gary Daniels', 'Sondi', 'Bradley Joseph', 'Joseph Valencia', 'Mel Novak', 'Rick Rabago', 'Lelagi Togisala', 'Suzanne Hennigar', 'Donna Simoneau', 'Ron Hall', 'William Christopher Ford', 'Hedi Catlin', 'Charlotte Leslie']",English,1.4
2247646,135236,Occupy Love (2012) ,"['Documentary', 'Drama']",[],Velcrow Ripper,"['Amr Adel', 'Angaangaq Angakkorsuaq', 'Colin Beavan', 'Reverend Billy', 'Drew Dellinger', 'Lauren Digioia', 'Charles Eisenstein', 'Noah Fischer', 'Kimia Gohmeshi', 'Tom Goldtooth', 'Joan Halifax', 'bell hooks', 'Barbara Marx Hubbard', 'Kumu Raylene Kawaiaea', 'Naomi Klein']",English,6.4
3111626,135238,The Sky Above Us (2015) ,"['Biography', 'Drama', 'War']",['night'],Marinus Groothof,"['Nada Sargin', 'Boris Isakovic', 'Nikola Rakocevic', 'Nevena Ristic', 'Mladen Sovilj', 'Hristina Popovic', 'Milos Timotijevic', 'Jovana Gavrilovic', 'Tihomir Stanic', 'Ana Bretsnajder', ""Slobodan 'Boda' Ninkovic"", 'Mladen Andrejevic', 'Vladislava Milosavljevic', 'Bojan Zirovic', 'Paulina Manov']",Serbian,6.0
0115321,135240,Prime Suspect 5: Errors of Judgement             ,"['Crime', 'Mystery', 'Romance', 'Thriller']","['prime suspect', 'female detective', 'police corruption', 'punctuation in title', 'police officer']",Helen Mirren,"['Helen Mirren', 'Ray Emmet Brown', 'John Brobbey', 'Julia Lane', 'Steven Mackintosh', 'John McArdle', ""David O'Hara"", 'Joe Jacobs', 'David Norman', 'Martin Ronan', 'Tony Audenshaw', 'Anne Hornby', 'Gabrielle Reidy', 'Marsha Thomason', 'Joe Speare', 'Paul Oldham', 'Chris Bisson', 'Sarah Jones', 'Steve Money', 'Paul Warriner', 'Ravin J. Ganatra', 'Badi Uzzaman', 'Paul Simpson', 'Emma Longbottom', 'Stuart Wolfenden', 'Andy Devine', 'Julian Kerridge', 'Adam Evans', 'David Webber', 'Vanessa Knox-Mawer', 'Glyn Dilley', 'David Kangas']",English,7.9
3013258,135242,Sur le chemin de l'école (2013) ,['Documentary'],"['wheelchair', 'school', 'kenya', 'children', 'animal attack']",Pascal Plisson,"['Jackson Saikong', 'Salome Saikong', 'Samuel J. Esther', 'Gabriel J. Esther', 'Emmanuel J. Esther', 'Zahira Badi', 'Noura Azaggagh', 'Zineb Elkabli', 'Carlito Janez', 'Micaela Janez']",French,7.4
0397430,135244,Frankenstein (2004) ,"['Crime', 'Horror', 'Mystery', 'Sci-Fi']","['doctor', 'detective', 'creature', 'murder', 'monster']",Marcus Nispel,"['Parker Posey', 'Vincent Perez', 'Thomas Kretschmann', 'Adam Goldberg', 'Ivana Milicevic', 'Michael Madsen', 'Deborah Duke', 'Ann Mahoney', 'Deneen Tyler', 'Brett Rice', 'Stocker Fontelieu', 'Maureen Brennan', 'Billy Louviere', 'Will Schierhorn', 'Tom Nowicki']",English,4.5
0401088,135246,3: The Dale Earnhardt Story (2004) ,"['Biography', 'Drama', 'Sport']","['character name as title', 'dale earnhardt character', 'four word title', 'daytona 500', 'auto racing']",Russell Mulcahy,"['Barry Pepper', 'Elizabeth Mitchell', 'Ernest Whitted', 'Andrea Powell', 'Sean Bridgers', 'David Lewis Brooks', 'Russell Brooks', 'Joe Chrest', 'Russell Cook', 'Teresa Delgado', 'Tony Devon', 'Thunderbird Dinwiddie', 'Tricia Dyar', 'Corri English', 'Michael Flippo']",English,6.9
0206064,135248,Johnny Tsunami (1999) ,"['Drama', 'Family', 'Sport']","['skiing', 'ski lift', 'snowboard', 'snowboarding', 'snow']",Steve Boyum,"['Cary-Hiroyuki Tagawa', 'Brandon Baker', 'Mary Page Keller', 'Yuji Okumoto', 'Lee Thompson Young', 'Cylk Cozart', 'Kirsten Storms', 'Zachary Bostrom', 'Gregory Itzin', 'Taylor Moore', 'Anthony DiFranco', 'Steve Van Wormer', 'Noah Bastian', 'Gabriel Luque', 'Anne Sward']",English,6.3
0942378,135250,Johnny Kapahala: Back on Board (2007) ,"['Comedy', 'Drama', 'Family', 'Sport']","['disney channel original movie', 'sequel', 'interracial relationship', 'character name in title']",Eric Bross,"['Brandon Baker', 'Jake T. Austin', 'Cary-Hiroyuki Tagawa', 'Robyn Lively', 'Mary Page Keller', 'Yuji Okumoto', ""Jonathan 'Lil J' McDaniel"", 'Andrew James Allen', 'Rose McIver', 'Phil Brown', 'Akoni Kama', 'Thomas Newman', 'Fasitua Amosa', 'Peter Feeney', 'Rawiri Pene']",English,5.5
0282223,135252,'Twas the Night (2001) ,"['Comedy', 'Family']","['joyride', 'santa', 'uncle', 'boy', '14 year old']",Nick Castle,"['Josh Zuckerman', 'Brenda Grate', 'Bryan Cranston', 'Jefferson Mappin', 'Barclay Hope', 'Torri Higginson', 'Rhys Williams', 'Sandy Robson', 'Jeff Geddis', 'Jung-Yul Kim', 'Jamie Robinson', 'Oliver Dennis', 'Joe Bostick', 'Santiago Garcia', 'Paul MacFarlane']",English,5.4
1190719,135254,Johnny Appleweed (2008) ,"['Comedy', 'Drama']","['road trip', 'marijuana', 'independent film']",Johnny Cotugno,"['Johnny Cotugno', 'Tami Reynolds', 'B.J. Thorne', 'Sean Velie', 'Dennis Wiggins', 'Bram Fulk', 'Kevin Abbott', 'Nick Arganbright', 'Eddie Armstrong', 'Robert Benes', 'Andrew Patrick Byrd', 'Brian Campbell', 'Carol Rose Carver', 'Sandy Cotugno', 'Louie Cowan']",English,5.4
0256466,135256,The Ultimate Christmas Present (2000) ,"['Comedy', 'Family']","['machine', 'santa claus', 'weather', 'snow', 'holiday in title']",Greg Beeman,"['Hallee Hirsh', 'Spencer Breslin', 'Hallie Todd', 'Brenda Song', 'John Salley', 'Susan Ruttan', 'John B. Lowe', 'Greg Kean', 'Jason Schombing', 'Bill Fagerbakke', 'Peter Scolari', 'Zahf Paroo', 'Laara Ong', 'Daniel Boileau', 'Tiffany Desrosiers']",English,5.9
1249300,135258,"Merry Christmas, Drake & Josh (2008) ","['Comedy', 'Family']","['christmas', 'punctuation in title', 'holiday in title', 'ampersand in title', 'character name in title']",Michael Grossman,"['Drake Bell', 'Josh Peck', 'Miranda Cosgrove', 'Bailee Madison', 'Nancy Sullivan', 'Jonathan Goldstein', 'Jerry Trainor', 'Yvette Nicole Brown', 'David Pressman', ""Kevin 'Kimbo Slice' Ferguson"", 'Camille Goldstein', 'Cosette Goldstein', 'David Gore', 'Devon Graye', 'Daven Wilson']",English,6.8
0114188,135260,Problem Child 3: Junior in Love (1995) ,"['Comedy', 'Family']","['actor playing female role', 'chainsaw', 'sequel', 'child therapist', 'diner']",Greg Beeman,"['William Katt', 'Justin Chapman', 'Sherman Howard', 'Carolyn Lowery', 'Eric Edwards', 'Blake McIver Ewing', 'Jennifer Ogletree', 'Brock Pierce', 'Jake Richardson', 'Gilbert Gottfried', 'Jack Warden', 'Ellen Albertini Dow', 'Marianne Muellerleile', 'Bruce Ed Morrow', 'Jacqueline Obradors']",English,3.4
0117287,135262,The Paper Brigade (1996) ,"['Adventure', 'Comedy', 'Drama', 'Family']","['filmed in utah', 'bully', 'ticket', 'concert ticket', 'fourteen']",Blair Treu,"['Kyle Howard', 'Robert Englund', 'Travis Wester', 'Chauncey Leopardi', 'Ethan Glazer', 'Matthew Ness', 'Bibi Osterwald', 'Kylee Cochran', ""Michael 'Mikey' Peterson"", 'Matthew Best', 'Eean Crawford', 'Michael Paul Stephenson', 'Christopher Marsh', 'Michael Flynn', 'Suzanne Barnes']",English,6.8
0186726,135264,Zenon: Girl of the 21st Century (1999) ,"['Adventure', 'Comedy', 'Family', 'Sci-Fi']","['year 2049', 'space station', 'earth', '13 year old', 'punishment']",Kenneth Johnson,"['Kirsten Storms', 'Raven-Symoné', 'Stuart Pankin', 'Holly Fulger', 'Frederick Coffin', 'Bob Bancroft', 'Greg Thirloway', 'Phillip Rhys', 'Gwynyth Walsh', 'Lauren Maltby', 'Danielle Fraser', 'Brenden Jefferson', 'Blair Slater', 'Zach Lipovsky', 'Neil Denis']",English,6.4
0271271,135266,Zenon: The Zequel (2001) ,"['Comedy', 'Family', 'Adventure', 'Sci-Fi']","['female protagonist', 'second in trilogy', 'disney channel original movie', '2050s', 'second part']",Manny Coto,"['Kirsten Storms', 'Shadia Simmons', 'Lauren Maltby', 'Susan Brady', 'Robert Curtis Brown', 'Phillip Rhys', 'Holly Fulger', 'Stuart Pankin', 'John Getz', 'Thomas M. Wright', 'Michael Saccente', 'Rubert Simmonds', 'Nicko Vella', 'Jennifer Rucker', 'Stephen Lovatt']",English,5.9
0379060,135268,Zenon: Z3 (2004) ,"['Adventure', 'Comedy', 'Family', 'Sci-Fi']","['dream', 'dream sequence', 'nightmare', 'full moon', 'disney']",Steve Rash,"['Kirsten Storms', 'Lauren Maltby', 'Alyson Morgan', 'Stuart Pankin', 'Holly Fulger', 'Glenn McMillan', 'Ben Easter', 'Nathan Anderson', 'Damon Berry', 'Phumi Mthembu', 'Raven-Symoné', 'Joanna Evans', 'Carol Reynolds', 'Tove De Chazal', 'Nikki Joshua']",English,5.5
0211174,135270,"Up, Up, and Away! (2000) ","['Comedy', 'Family', 'Fantasy', 'Sci-Fi']","['non comic book superhero', 'boy', 'hero', 'villain', 'disney channel original movie']",Robert Townsend,"['Robert Townsend', 'Michael J. Pagan', 'Alex Datcher', 'Sherman Hemsley', 'Kevin Connolly', 'Olivia Burnette', 'Kasan Butcher', 'Arreale Davis', 'Chris Marquette', 'Jamie Renée Smith', 'Joan Pringle', 'Nancy Sorel', 'Benita Ha', 'Jim Smith', 'Ty Olsson']",English,5.6
0208101,135272,Don't Look Under the Bed (1999) ,"['Family', 'Fantasy']","['horror for children', 'leukemia', 'filmed in utah', 'boogeyman', 'imaginary friend']",Kenneth Johnson,"['Erin Chambers', 'Ty Hodges', 'Robin Riker', 'Steve Valentine', 'Mary Parker Williams', 'Geoff Hansen', 'Barry Yourgrau', 'Stephen Tobolowsky', 'Nathan Stevens', 'RuDee Sade', 'Rachel Kimsey', 'Ruth Hale', 'Cody Cowdell', 'Frank Gerrish', 'Travis Holt Hamilton']",English,6.9
0274636,135274,The Luck of the Irish (2001) ,"['Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Sport']","['filmed in utah', 'charm', 'leprechaun', 'basketball movie', 'family relationships']",Paul Hoen,"['Ryan Merriman', 'Henry Gibson', 'Alexis Lopez', 'Glenndon Chatman', 'Marita Geraghty', 'Paul Kiernan', 'Timothy Omundson', 'Dane Stevens', 'Charles Halford', 'Ashley Chapman', 'Brett Yoder', 'Emberson Bill', 'Thurl Bailey', 'Dustin Harding', 'Curley Green']",English,6.2
0365149,135276,Eddie's Million Dollar Cook-Off (2003) ,"['Comedy', 'Family', 'Sport']","['cooking', 'baseball', 'disney channel original movie', 'father son relationship', 'brother brother relationship']",Paul Hoen,"['Taylor Ball', 'Orlando Brown', 'Reiley McClendon', 'Mark L. Taylor', 'Rose McIver', 'Kylie Leydon', 'Bobby Flay', 'Susan Brady', 'Nick Miller', 'Johnny Barker', 'Jason Sellers', 'Matthew Sellers', 'Renée Ji', 'Daniel Costello', 'James Gaylyn']",English,6.0
0790781,135278,Wendy Wu: Homecoming Warrior (2006) ,"['Action', 'Adventure', 'Family']","['martial arts', 'disney channel original movie', 'character name in title']",John Laing,"['Brenda Song', 'Shin Koyamada', 'Susan Chuang', 'Justin Chon', 'Michael David Cheng', 'Andy Fischer-Price', 'Ellen Woglom', 'Tsai Chin', 'James Gaylyn', 'Michael Saccente', 'Sally Stockwell', 'Timothy Raby', 'Anna Hutchison', 'Sally Martin', 'Geoff Dolan']",English,5.4
1294969,135280,18-Year-Old Virgin (2009) ,['Comedy'],"['erotica', 'female explicit nudity', 'orgy', 'lesbianism', 'lesbian kiss']",Tamara Olson,"['Olivia May', 'Lauren Walsh', 'Todd Leigh', 'Dustin Harnish', 'Karmen Morales', 'Dan Sykes', 'J. Michael Trautmann', 'Robbie Henke', 'Seth Cassell', 'Collen Drew Henderson', 'Dustin Fitzsimons', 'Danielle Gatto', 'Conor Moriarty', 'Brad Ulrich', 'Kim Argetsinger']",English,2.9
2064745,135282,Web Junkie (2013) ,"['Documentary', 'Biography', 'Drama']","['gaming addiction', 'chinese', 'internet addiction', 'f rated', 'counselor']",Hilla Medalia,['Ran Tao'],English,6.4
0118909,135286,The Curse of Inferno (1997) ,"['Comedy', 'Crime', 'Drama']","['bank robbery', 'robbers', 'on the lam', 'female deputy sheriff', 'love interest']",John Warren,"['Pauly Shore', 'Janine Turner', 'Ned Beatty', 'Max Perlich', 'Stephen Tobolowsky', 'Blue Deckert', 'John Pleshette', 'Weasel Forshaw', 'Ben Loggins', 'Vernon Grote', 'Brad Leland', 'Greta Muller', 'Woody Watson', 'Michael Crabtree', ""Jim O'Brien""]",English,4.2
