IMDB,ID,Title,Genre,Tags,Director,Cast,Language,Rating
0033560,158443,Dude Cowboy (1941) ,"['Action', 'Crime', 'Music', 'Western']","['father of distressed damsel kidnapped', 'b movie', 'b western', 'double feature film', 'modern west']",David Howard,"['Tim Holt', 'Marjorie Reynolds', 'Ray Whitley', ""Lee 'Lasses' White"", 'Louise Currie', 'Helen Holmes', 'Eddie Kane', 'Eddie Dew', 'Byron Foulger', 'Tom London', 'Lloyd Ingraham', 'Glenn Strange']",English,5.8
0042482,158445,Frenchie (1950) ,"['Romance', 'Western']","['colt .45', 'manipulative female', 'taming of the shrew', 'vindication', 'gambling casino']",Louis King,"['Joel McCrea', 'Shelley Winters', 'Paul Kelly', 'Elsa Lanchester', 'Marie Windsor', 'John Russell', 'John Emery', 'George Cleveland', 'Regis Toomey', 'Paul E. Burns', 'Frank Ferguson', 'Vincent Renno', 'Lawrence Dobkin', 'Lucille Barkley']",English,6.3
0024092,158447,Havana Widows (1933) ,['Comedy'],"['chorus girl', 'gambling', 'gold digger', 'forgery', 'new york city']",Ray Enright,"['Joan Blondell', 'Glenda Farrell', 'Guy Kibbee', 'Allen Jenkins', 'Lyle Talbot', 'Frank McHugh', 'Ruth Donnelly', 'Hobart Cavanaugh', 'Ralph Ince', 'Maude Eburne', 'George Cooper', 'Charles C. Wilson']",English,6.3
0021952,158449,"Her Majesty, Love (1931) ","['Comedy', 'Musical', 'Romance']","['engagement', 'cabaret', 'bartender', 'marriage', 'wedding']",William Dieterle,"['Marilyn Miller', 'Ben Lyon', 'W.C. Fields', 'Leon Errol', 'Ford Sterling', 'Chester Conklin', 'Harry Stubbs', 'Clarence Wilson', 'Harry Holman', 'Ruth Hall', 'Mae Madison', 'Maude Eburne', 'Virginia Sale', 'William Irving']",English,5.9
2211718,158451,Hilda (2014) ,"['Comedy', 'Drama']","['maid', 'black', 'society', 'adaptation', 'play']",Andres Clariond,"['Marco Antonio Aguirre', 'Fernando Becerril', 'Anna Cetti', 'María Luisa Coronel', 'Yuriria del Valle', 'David Gaitán', 'Noé Hernández', 'Verónica Langer', 'Pilar Mata', 'Eduardo Mendizábal', 'Adriana Paz', 'Jose Pablo Rivera', 'Arnulfo Reyes Sanchez', 'Jim Stark', 'Antonio de la Vega']",Spanish,6.4
0029009,158453,Hollywood Cowboy (1937) ,"['Action', 'Adventure', 'Romance', 'Western']","['prissy sissy', 'movie writer', 'b movie', 'b western', 'double feature film']",Ewing Scott,"[""George O'Brien"", 'Cecilia Parker', 'Maude Eburne', 'Joe Caits', 'Frank Milan', 'Charles Middleton', 'Lee Shumway', 'Walter De Palma', 'Al Hill', 'William Royle', 'Al Herman', 'Frank Hagney', 'Dan Wolheim', 'Joe Balch', 'Sid Jordan']",English,5.7
0064344,158455,Frau Wirtin hat auch eine Nichte (1969) ,['Comedy'],"['actor', 'woman', 'german sex comedy', 'nude fight', 'female nudity']",Franz Antel,"['Teri Tordai', 'Claudio Brook', 'Margaret Lee', 'Karl Michael Vogler', 'Harald Leipnitz', 'Jacques Herlin', 'Heinrich Schweiger', 'Ralf Wolter', 'Lando Buzzanca', 'Edwige Fenech', 'Rosemarie Lindt', 'Judith Dornys', 'Grit Freyberg', 'Sissy Löwinger', 'Annamária Szilvássy']",German,4.9
0030317,158458,Kentucky (1938) ,"['Drama', 'Romance', 'Sport']","['uncle', 'kentucky', 'horse racing', 'feud', 'horse']",David Butler,"['Loretta Young', 'Richard Greene', 'Walter Brennan', 'Douglass Dumbrille', 'Karen Morley', 'Moroni Olsen', 'Russell Hicks', 'Willard Robertson', 'Charles Waldron', 'George Reed', 'Bobs Watson', 'Delmar Watson', 'Leona Roberts', 'Charles Lane', 'Charles Middleton']",English,6.3
0058533,158460,La ronde (1964) ,"['Drama', 'History']","['soldier', 'student', 'restaurant', 'prostitute', 'maid']",Roger Vadim,"['Jean-Claude Brialy', 'Francine Bergé', 'Marie Dubois', 'Jane Fonda', 'Claude Giraud', 'Anna Karina', 'Bernard Noël', 'Maurice Ronet', 'Jean Sorel', 'Catherine Spaak', 'Valérie Lagrange', 'Jean Parédès', 'Cora Vaucaire', 'Denise Benoît', 'Alice Cocéa']",French,5.7
0030354,158462,Lawless Valley (1938) ,['Western'],"['cowboy in tight pants', 'cowboy horse relationship', 'man tied up', 'tied to a tree', 'camp']",David Howard,"[""George O'Brien"", 'Kay Sutton', 'Walter Miller', 'Fred Kohler', 'Fred Kohler Jr.', 'Lew Kelly', 'George MacQuarrie', 'Earle Hodgins', 'Chill Wills', 'Dot Farley']",English,6.6
