IMDB,ID,Title,Genre,Tags,Director,Cast,Language,Rating
0069888,202197,Class of '44 (1973) ,['Drama'],"['sequel', 'year in title', 'second part', 'punctuation in title', 'apostrophe in title']",Paul Bogart,"['Gary Grimes', 'Jerry Houser', 'Oliver Conant', 'Deborah Winters', 'William Atherton', 'Sam Bottoms', 'Joe Ponazecki', 'Murray Westgate', 'Marian Waldman', 'Mary Long', 'Marcia Diamond', 'Jeffrey Cohen', 'Susan Marcus', 'Lamar Criss', 'Michael A. Hoey']",English,5.4
0313202,202199,An Angel for May (2002) ,"['Drama', 'Family', 'Fantasy']","['1940s', 'based on novel', 'character name in title', '12 year old', 'time travel']",Harley Cokeliss,"['Tom Wilkinson', 'Charlotte Wakefield', 'Matthew Beard', 'Hugo Speer', 'Matthew McNulty', 'Anna Massey', 'Angeline Ball', 'Julie Cox', 'Richard Fleeshman', 'Dora Bryan', 'James Joyce', 'Daniel Mason', 'Jonathan Bradd', 'Andrew Foxcroft', 'Ashley Rhodes']",English,7.1
0462488,202201,Princes in the Tower (2005) ,['Drama'],"['henry vii', 'impostor', 'cloth', 'skeleton', 'death sentence']",Justin Hardy,"['Mark Umbers', 'John Castle', 'Roger Hammond', 'Sally Edwards', 'Nicholas Rowe', 'Nadia Cameron-Blakey', 'Paul Hilton', 'Richard Griffiths']",English,7.5
6811992,202203,Je vais mieux (2017) ,['Comedy'],['illness'],Jean-Pierre Améris,"['Eric Elmosnino', 'Ary Abittan', 'Judith El Zein', 'Alice Pol', 'François Berléand', 'Valentine Cadic', 'Valérie Decobert-Koretzky', 'Lise Lamétrie', 'Henri Guybet', 'Maud Baecker', 'Eric Théobald', 'Jean-Yves Chatelais', 'Sacha Bourdo', 'Hervé Terrisse', 'Juliette Plumecocq-Mech']",French,5.8
0099858,202209,"Iskanderija, kaman oue kaman (1989) ",['Drama'],['gay interest'],Youssef Chahine,"['Youssra', 'Youssef Chahine', 'Hussein Fahmy', 'Amr Abdulgalil', 'Hesham Selim', 'Tahiyyah Karyuka', 'Huda Sultan', 'Ragaa Hussein', 'Seif Abdelrahman', 'Abla Kamel', 'Hassan El Adl', 'Ahmed El Hariri', 'Menha Batraoui', 'Tewfik Saleh', 'Zaky Fateen Abdel Wahab']",Arabic,6.7
0970453,202211,Spike (2008) ,"['Fantasy', 'Horror', 'Romance']",['one word title'],Robert Beaucage,"['Sarah Livingston Evans', 'Jared Edwards', 'Anna-Marie Wayne', 'Nancy P. Corbo', 'Edward Gusts']",English,3.2
0080527,202213,The Children (1980) ,"['Horror', 'Sci-Fi']","['drive in classic', 'grindhouse film', 'midnight movie', 'zombie survival', 'zombie film']",Max Kalmanowicz,"['Martin Shakar', 'Gil Rogers', 'Gale Garnett', 'Shannon Bolin', 'Tracy Griswold', 'Joy Glaccum', 'Jeptha Evans', 'Clara Evans', 'Sarah Albright', 'Nathanael Albright', 'Julie Carrier', 'Michelle La Mothe', 'Edward Terry', 'Peter Maloney', 'Jessie Abrams']",English,5.5
0134167,202215,Twisted Nightmare (1987) ,['Horror'],"['psychotronic film', 'supernatural', 'summer camp', 'gore', 'panties hit the floor']",Paul Hunt,"['Rhonda Gray', 'Cleve Hall', 'Robert Padilla', 'Brad Bartram', 'Scott King', 'Devon Jenkin', 'Heather Sullivan', 'Kenneth Roper Jr.', 'Natalie Main', 'Darryl Tong', 'Juliet Martin', 'Marc Copage', 'Crisstyn Dante', 'Jim Gosling', 'Phillip Bardowell']",English,4.4
0097224,202221,Domino (1988) ,['Drama'],"['title directed by female', 'female orgasm', 'female masturbation', 'reference to billie holiday', 'female director']",Ivana Massetti,"['Brigitte Nielsen', 'Tomas Arana', 'Kim Rossi Stuart', 'Stéphane Ferrara', 'Cosimo Fusco', 'Pascal Druant', 'Cyrus Elias', 'Geretta Geretta', 'Yves Jouffroy', 'Lucien Bruchon', 'Antonella Tinazzo', 'David Warbeck', 'Daniela Azzone', 'Sheila Constantini Folli', 'Joy Garrison']",English,3.7
6185266,202225,Something (2018) ,"['Drama', 'Horror', 'Mystery']",['woman'],Stephen Portland,"['Michael Gazin', 'Jane Rowen', 'Joel Clark Ackerman', 'Eric Roberts', 'Evan Carver', 'Elise Zell', 'Adrian Bustamante', 'SungWon Cho', 'Tom Dusenbery', 'Mark Christiansen', 'Jose Rosete', 'Elizabeth Saydah', 'Brittany Morgan Williams']",English,4.1
5900870,202227,Morir para contar (2018) ,['Documentary'],['dead'],Hernán Zin,"['Hernán Zin', 'David Beriain', 'Manu Brabo', 'Roberto Fraile', 'Carlos Hernández', 'Maysun Abu-Khdeir', 'Fran Sevilla', 'Javier Bauluz', 'Ramón Lobo', 'Carmen Sarmiento', 'Mónica G. Prieto', 'Monica Bernabe', 'Eric Frattini', 'Gervasio Sánchez', 'Rosa Meneses']",English,6.8
5176580,202229,Wild Nights with Emily (2018) ,"['Comedy', 'History']","['writer', 'lesbian relationship', 'female poet', 'voice over', 'subtitles']",Madeleine Olnek,"['Molly Shannon', 'Amy Seimetz', 'Susan Ziegler', 'Brett Gelman', 'Jackie Monahan', 'Kevin Seal', 'Dana Melanie', 'Joel Michaely', 'Sasha Frolova', 'Lisa Haas', 'Casper Andreas', 'Allison Lane', 'Robert McCaskill', 'David Albiero', 'Marc Alan Austen']",English,6.1
8403246,202231,Foster (2018) ,['Documentary'],[],Mark Jonathan Harris,"['Earcylene Beavers', 'Jessica Chandler', 'Jacqueline Chun', 'Ben Colella', 'Patricia Soung']",English,6.7
5192278,202233,Chasing Niagara (2015) ,"['Documentary', 'Adventure']",[],Rush Sturges,"['Tyler Bradt', 'Evan Garcia', 'Kyle Hull', 'Erik Johnson', 'Mark LeBlanc', 'Ryan Lucas', 'Blake Mahoney', 'Fred Norquist', 'Rafa Ortiz', 'Eric Parker', 'Aniol Serrasolses', 'Gerd Serrasolses', 'Rush Sturges', 'Iker Beristain Van Dusen', 'Galen Volckhausen']",English,6.2
3875310,202235,Kidnep (2015) ,"['Adventure', 'Family']","['kidnapping', 'rich kid', 'only child', 'birthday', 'friends with kidnapper']",Diederik Ebbinge,"['Martin van Waardenberg', 'Teun Stokkel', 'Ruth Becquart', 'Steven van Watermeulen', 'Katrien van Beurden', 'Marcel Musters', 'Rian Gerritsen', 'Peter Van den Begin', 'Marnix Vorselman', 'John Buijsman', 'Kok-Hwa Lie', 'Dirk Vermiert', 'Hendrik Aerts', 'Bob Snijers', 'Jan Willem Hofma']",Dutch,6.3
8291806,202237,Dolor y gloria (2019) ,['Drama'],"['heroin', 'film director', 'gay lead character', 'chronic pain', 'creative crisis']",Pedro Almodóvar,"['Antonio Banderas', 'Asier Etxeandia', 'Leonardo Sbaraglia', 'Nora Navas', 'Julieta Serrano', 'César Vicente', 'Asier Flores', 'Penélope Cruz', 'Cecilia Roth', 'Susi Sánchez', 'Raúl Arévalo', 'Pedro Casablanc', 'Julián López', 'Eva Martín', 'Sara Sierra']",Spanish,7.5
0331355,202245,Three Examples of Myself as Queen (1994) ,"['Short', 'Fantasy', 'Musical']","['queen', 'queen bee', 'harem', 'white horse', 'pink pancakes']",Anna Biller,"['Anna Biller', 'Jared Sanford', 'Kiki Valentine', 'Les Biller', 'David Corrado', 'Raymond Le Heup', 'Louis Lunetta', 'Barry Morse']",English,6.8
2367996,202247,Mugamoodi (2012) ,"['Action', 'Adventure']","['non comic book superhero', 'kung fu', 'robbery', 'costume', 'school']",Mysskin,"['Jiiva', 'Narain', 'Nassar', 'Pooja Hegde', 'Selvaah', 'Girish Karnad', 'Aadukalam Naren', 'Amalados', 'Nicholas', 'Joy', 'Murugadass', 'Kalaiyarasan', 'Thilsha', 'Sivaraj', 'Sachidhanandam']",Tamil,4.9
5593416,202249,Pîchi gâru (2017) ,"['Comedy', 'Romance']","[""camera shot of a girl's legs"", 'live action remake of anime', 'short skirt uniform', 'girl wears a short skirt', 'camera shot of legs']",Kôji Shintoku,"['Kei Inoo', 'Mizuki Yamamoto', 'Mackenyu', 'Mei Nagano']",Japanese,6.2
4360406,202251,Pinku to gurê (2015) ,"['Drama', 'Mystery']","['actor', 'japan', 'japanese man', 'murder or suicide', 'dead body']",Isao Yukisada,"['Keita Arai', 'Jingi Irie', 'Kaho', 'Yukino Kishii', 'Ryôko Kobayashi', 'Kaito Komie', 'Yoshiko Miyazaki', 'Erika Nagamine', 'Yûto Nakajima', 'Masaki Suda', 'Arisa Takarada', 'Emi Wanibuchi', 'Yûya Yagira']",Japanese,6.6
5328952,202253,Signature Move (2017) ,"['Comedy', 'Drama', 'Romance']","['indie movie', 'two word title', 'pakistani', 'mexican', 'lesbian']",Jennifer Reeder,"['Fawzia Mirza', 'Shabana Azmi', 'Sari Sanchez', 'Audrey Francis', 'Charin Alvarez', 'Molly Brennan', 'Mark Hood', 'Ox Baker Jr.', 'Molly Callinan', 'Jacob Clapham', 'Minita Gandhi', 'Brian G. Lawrie', 'Jeez Loueez', 'Mia Park', 'Malic White']",English,5.5
5926990,202255,Unlovable (2018) ,"['Comedy', 'Drama', 'Music']","['parents daughter relationship', 'brother sister relationship', 'brother caregiver for mother', 'sex scene', ""sex addicts' meeting""]",Suzi Yoonessi,"['Charlene deGuzman', 'John Hawkes', 'Melissa Leo', 'Paul James', 'Ellen Geer', 'Jake McDorman', 'Gigette Reyes', 'Alim Kouliev', 'Josh Fadem', 'Josh Ruben', 'Ben Blenkle', 'Pam Trotter', 'Camille Cregan', 'Nicholas Norsten', 'Abe Pagtama']",English,5.9
0060536,202263,In the Year 2889 (1969) ,"['Horror', 'Sci-Fi']","['psychotronic film', 'drunk girl', 'post thermonuclear war', 'mutation', 'post apocalypse']",Larry Buchanan,"['Paul Petersen', ""Quinn O'Hara"", 'Charla Doherty', 'Neil Fletcher', 'Hugh Feagin', 'Max W. Anderson', 'Bill Thurman', 'Byron Lord']",English,2.9
0277412,202265,Unspeakable (2002) ,"['Horror', 'Thriller']","[""blowing one's brains out"", 'death', 'execution', 'evil', 'murder']",Thomas J. Wright,"['Pavan Grover', 'Michelle Wolff', 'Mark Voltura', 'Marco Rodríguez', 'Dina Meyer', 'Lance Henriksen', 'Miguel Pérez', 'Dennis Hopper', 'J.D. Garfield', 'Angelo Jaramillo', 'George Michael Tapia', 'Audra Wise', 'Kim Trujillo', 'Michael Crabtree', 'Anthony Dilio']",English,3.5
2070842,202267,The Dotted Line (2011) ,"['Documentary', 'Short']",[],Morgan Spurlock,"['Reggie Bush', 'David Falk', 'Roger Goodell', 'Peter Greenberg', 'Brandon Hogan', 'Robert Hughes', 'Michael Jordan', 'Eugene Lee', 'Josh Luchs', 'Liz Mullen', 'Blanche Reed', 'Drew Rosenhaus', 'Johan Santana', 'Jeremy Schaap', 'Morgan Spurlock']",English,6.5
7069030,202269,Kid Brother (2017) ,"['Comedy', 'Drama']",['brother'],Devin Cameron,"['Alan Longstreet', 'Tonya Hawkins', 'Peter Herold', 'Dan Sokolowski', 'Ruth Daniels', 'Jerry Jarvis', 'Olivia Purugganan', 'Nick Alexander', 'Dillon Purugganan', 'Devin Cameron']",English,6.5
7735502,202271,Il testimone invisibile (2018) ,['Thriller'],"['house', 'remake', 'italian remake', 'italian remake of spanish film', 'remake of european film']",Stefano Mordini,"['Riccardo Scamarcio', 'Miriam Leone', 'Fabrizio Bentivoglio', 'Maria Paiato', 'Sara Cardinaletti', 'Nicola Pannelli', 'Sergio Romano', 'Paola Sambo', 'Ascanio Balbo', 'Gerardo De Blasio', 'Ilaria Amadasi', 'Giulia Bellanzoni', 'Marco Brinzi', 'Alessandra Carrillo', 'Sergio Grossini']",Italian,6.5
7783966,202273,The Challenger Disaster (2019) ,['Drama'],[],Nathan VonMinden,"['Eric Hanson', 'Cameron Arnett', 'Gerald Brodin', 'Ash Khan', 'Garry Nation', 'Jose Quinones', 'Dean Cain', 'Glenn Morshower', 'Les Miles', 'Brandi Price', 'Scott Petty', 'Mike T. Tremblay', 'Jason Sweatt', 'Erika Waldorf', 'Keith Rushing']",English,6.2
6660238,202275,Feng kuang de wai xing ren (2019) ,"['Comedy', 'Sci-Fi']",['train'],Hao Ning,"['Bo Huang', 'Teng Shen', 'Tom Pelphrey', 'Matthew Morrison', 'Daniel Hugh Kelly', 'Zheng Xu', 'Hua Liu', 'Hewei Yu', 'Fei Deng', 'Mekael Turner', 'Ge Wang', 'Kat Nelson', 'Shan Yang', 'Zhao Ping', 'He Maohua']",Chinese,5.7
0062179,202277,L'invincibile Superman (1968) ,"['Adventure', 'Sci-Fi']","['psychotronic film', 'robot', 'wrestler', 'mask', 'star athlete']",Paolo Bianchini,"['Giovanni Cianfriglia', 'Guy Madison', 'Luisa Baratto', 'Diana Lorys', 'Aldo Sambrell', 'Tomás Blanco', 'Sergio Testori', 'Valerio Tordi', 'Aldo Bufi Landi', 'Valentino Macchi', 'Frank von Kuegelgen']",Italian,4.8
1056467,202281,Dying God (2008) ,"['Horror', 'Sci-Fi', 'Thriller']","['supernatural', 'serial killer', 'cop', 'corrupt cop']",Fabrice Lambot,"['James Horan', 'Lance Henriksen', 'Erin Brown', 'Agathe de La Boulaye', 'Enrique Liporace', 'Victoria Maurette', 'Samuel Arena', 'Hugo Halbrich', 'Muni Seligmann', 'Iván Espeche', 'Louis Ballester', 'Kevin Schiele', 'Brad Krupsaw', 'Maxime Seugé', 'Pablo Padilla']",English,2.7
9597190,202287,Fei chi ren sheng (2019) ,"['Comedy', 'Sport']",['champion'],Han Han,"['Teng Shen', 'Johnny Huang', 'Zheng Yin', 'Benyu Zhang', 'Fang Yin', 'Yu Tian', 'Xiang Wei', 'Shaofeng Feng', 'Winston Chao', 'Tengger', 'Pierre Bourdaud', 'Gaoxiang Fan', 'Huayang Gao', 'Sui He', 'Bing Li']",Mandarin,6.3
